1,411.253022 
2,0.000000 
3,0.000000 
4,0.000000 
5,-2474.025513 
6,2318.534285 
7,0.000000 
8,0.000000 
9,0.000000 
10,0.000000 
11,0.000000 
12,-622.234435 
13,0.000000 
14,0.000000 
15,0.000000 
16,970.940476 
17,0.000000 
18,0.000000 
19,-1165.969926 
20,0.000000 
21,0.000000 
22,854.024935 
23,0.000000 
24,0.000000 
25,0.000000 
26,0.000000 
27,-1525.965591 
28,1376.829659 
29,0.000000 
30,0.000000 
31,0.000000 
32,0.000000 
33,0.000000 
34,-618.228758 
35,0.000000 
36,1026.328176 
37,0.000000 
38,-1293.414761 
39,959.091400 
40,-216.838216 
